,address,bookmarks,categories,district,link,location,price_range,title
15,彩虹彩虹村金碧樓 22 號地下,5.4K,"['粵菜 (廣東)', '中菜館']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E9%87%91%E7%A2%A7%E9%85%92%E6%A8%93-%E5%BD%A9%E8%99%B9-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-r1575,Kowloon,$101-200,金碧酒樓 Kam Pik Restaurant
16,彩虹牛池灣貴池徑2號地下C號舖,5.3K,['台灣菜'],Choi Hung,https://www.openrice.com/zh/hongkong/r-%E4%B8%81%E7%88%B8%E9%A3%9F%E5%BA%9C-%E5%BD%A9%E8%99%B9-%E5%8F%B0%E7%81%A3%E8%8F%9C-r701447,Kowloon,$50以下,丁爸食府
17,彩虹龍池徑60號A地下,3.9K,"['粵菜 (廣東)', '燒臘']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E6%96%B0%E5%BF%97%E8%88%88%E8%87%B3%E5%B0%8A%E7%87%92%E9%B5%9D%E5%A4%A7%E7%8E%8B-%E5%BD%A9%E8%99%B9-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%87%92%E8%87%98-r137324,Kowloon,$50以下,新志興至尊燒鵝大王
18,彩虹牛池灣龍池徑67號B地舖,2.1K,"['粵菜 (廣東)', '點心']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E6%96%B0%E9%BE%8D%E5%9F%8E%E8%8C%B6%E6%A8%93-%E5%BD%A9%E8%99%B9-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r433308,Kowloon,$51-100,新龍城茶樓
19,彩虹青楊路11號彩虹邨金漢樓37號地舖,1.3K,"['港式', '茶餐廳/冰室']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E9%91%BD%E7%9F%B3%E5%86%B0%E5%AE%A4-%E5%BD%A9%E8%99%B9-%E6%B8%AF%E5%BC%8F-r12751,Kowloon,$50以下,鑽石冰室 Diamond Cafe
20,彩虹清水灣道45號彩雲商場二期2樓A209號舖,1.2K,"['港式', '快餐店']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E6%84%8F%E6%A8%82%E9%A4%90%E5%BB%B3-%E5%BD%A9%E8%99%B9-%E8%A5%BF%E5%BC%8F-r165723,Kowloon,$51-100,意樂餐廳 (彩雲商場) Cafe de Itamomo (Cho Wan Commercial Complex)
21,彩虹牛池灣金池徑1號地舖,1K,"['港式', '車仔麵']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E9%9A%A8%E4%BE%BF%E5%9D%90%E8%BB%8A%E4%BB%94%E9%BA%B5%E7%87%92%E7%83%A4-%E5%BD%A9%E8%99%B9-%E6%B8%AF%E5%BC%8F-%E8%BB%8A%E4%BB%94%E9%BA%B5-r435712,Kowloon,$50以下,隨便坐車仔麵燒烤
22,彩虹彩虹道242號采頤花園地下322號舖,1K,"['港式', '粉麵/米線']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E5%96%9C%E5%AE%B6%E7%8B%97%E4%BB%94%E7%B2%89-%E5%BD%A9%E8%99%B9-%E6%B8%AF%E5%BC%8F-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r677379,Kowloon,$50以下,喜家狗仔粉 Heika
23,彩虹清水灣道45號彩雲商場3樓A322號舖,882,"['港式', '茶餐廳/冰室']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E6%A1%83%E5%9C%92%E5%88%B6%E4%BD%9C%E7%B2%A5%E9%BA%B5%E9%A4%90%E5%BB%B3-%E5%BD%A9%E8%99%B9-%E6%B8%AF%E5%BC%8F-r180011,Kowloon,$50以下,桃園制作粥麵餐廳 (彩雲商場) MoMo Restaurant (Cho Wan Commercial Complex)
24,彩虹綠柳路8號彩虹邨金碧樓地下11號舖,787,"['港式', '快餐店']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E6%84%9B%E7%BE%A4%E5%BF%AB%E9%A4%90%E5%BA%97-%E5%BD%A9%E8%99%B9-%E6%B8%AF%E5%BC%8F-r2546,Kowloon,$50以下,愛群快餐店 Oi Kwan Fast Food Restaurant
25,彩虹清水灣道45號彩雲商場B102-B103號舖,658,"['台灣菜', '雲吞/餃子']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E5%85%AB%E6%96%B9%E9%9B%B2%E9%9B%86%E9%8D%8B%E8%B2%BC%E6%B0%B4%E9%A4%83%E5%B0%88%E9%96%80%E5%BA%97-%E5%BD%A9%E8%99%B9-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E9%9B%B2%E5%90%9E-%E9%A4%83%E5%AD%90-r494240,Kowloon,$50以下,八方雲集鍋貼水餃專門店 (彩雲商場) Bafang Dumpling (Cho Wan Commercial Complex)
26,彩虹牛池灣華池徑,627,"['潮州菜', '火鍋']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E5%AF%8C%E6%BA%90%E6%BD%AE%E5%B7%9E%E6%89%93%E5%86%B7%E7%BE%8E%E9%A3%9F-%E5%BD%A9%E8%99%B9-%E6%BD%AE%E5%B7%9E%E8%8F%9C-%E9%9B%9E%E7%85%B2-r26885,Kowloon,$51-100,富源潮州打冷美食
27,彩虹牛池灣龍池徑,552,"['港式', '車仔麵']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E8%A8%B1%E8%A8%98%E8%BB%8A%E4%BB%94%E9%BA%B5-%E5%BD%A9%E8%99%B9-%E6%B8%AF%E5%BC%8F-%E8%BB%8A%E4%BB%94%E9%BA%B5-r19665,Kowloon,$50以下,許記車仔麵
28,彩虹牛池灣街市熟食中心 2 樓 1-2 號舖,510,"['港式', '點心']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E4%B8%89%E5%90%88%E8%8C%B6%E5%AE%A4-%E5%BD%A9%E8%99%B9-%E6%B8%AF%E5%BC%8F-%E9%BB%9E%E5%BF%83-r26886,Kowloon,$50以下,三合茶室
29,彩虹牛池灣龍池徑牛池灣西村115A地下,502,"['港式', '茶餐廳/冰室']",Choi Hung,https://www.openrice.com/zh/hongkong/r-%E5%AF%B6%E7%A6%8F%E9%A4%90%E5%BB%B3-%E5%BD%A9%E8%99%B9-%E6%B8%AF%E5%BC%8F-r19664,Kowloon,$50以下,寶福餐廳
30,黃大仙正德街103號黃大仙中心南館地下G12A號舖,12.8K,"['日本菜', '壽司/刺身']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E5%92%8C%E6%B0%A3%E9%A3%9F%E5%A0%82-%E9%BB%83%E5%A4%A7%E4%BB%99-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E7%83%8F%E5%86%AC-r522693,Kowloon,$101-200,和氣食堂 (黃大仙中心) Waki Shokudo (Wong Tai Sin Shopping Centre)
31,黃大仙正德街103號黃大仙中心南館LG01號舖,8.3K,"['韓國菜', '烤肉']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E7%82%91%E5%85%AB%E9%9F%93%E7%83%A4-%E9%BB%83%E5%A4%A7%E4%BB%99-%E9%9F%93%E5%9C%8B%E8%8F%9C-%E9%9F%93%E7%87%92-r517908,Kowloon,$201-400,炑八韓烤 (黃大仙中心) MeokBang Korean BBQ & BAR (Temple Mall South)
32,黃大仙鳳德道15-17號地下,8.2K,"['川菜 (四川)', '中菜館']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E8%A9%A0%E8%97%9C%E5%9C%92%E5%9B%9B%E5%B7%9D%E8%8F%9C%E9%A4%A8-%E9%BB%83%E5%A4%A7%E4%BB%99-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r4014,Kowloon,$51-100,詠藜園四川菜館 Wing Lai Yuen Sze Chuen Noodles Restaurant
